OP-Act, September 13, 2025, 12:43 am: Logfile created using method 1.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Uploaded file Pailler_Adam_prescription-medicale-de-transport_2025-09-10.pdf to /home/converter/5cf8d421483a/7d5752c471d2/Pailler_Adam_prescription-medicale-de-transport_2025-09-10.pdf.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Upload Complete.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified inbound connection.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified globals.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified required directories.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Cleaned temporary location.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Cleaned convert location.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified tokens.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified color scheme.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified language.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Displaying the GUI.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified inbound connection.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified globals.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified required directories.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Cleaned temporary location.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Cleaned convert location.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified tokens.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified color scheme.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified language.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Skipping display GUI procedure.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Initiating Downloader.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: User selected to Download file Pailler_Adam_prescription-medicale-de-transport_2025-09-10.pdf.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Copying file Pailler_Adam_prescription-medicale-de-transport_2025-09-10.pdf to /var/www/html/HRProprietary/HRConvert2/DATA/5cf8d421483a/7d5752c471d2/Pailler_Adam_prescription-medicale-de-transport_2025-09-10.pdf.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Copied file Pailler_Adam_prescription-medicale-de-transport_2025-09-10.pdf.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified file.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Download Complete.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified inbound connection.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified globals.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified required directories.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Cleaned temporary location.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Cleaned convert location.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified tokens.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified color scheme.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified language.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Skipping display GUI procedure.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Initiating Converter.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: User selected to perform OCR on file Pailler_Adam_prescription-medicale-de-transport_2025-09-10.pdf.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Deleting stale file /var/www/html/HRProprietary/HRConvert2/DATA/5cf8d421483a/7d5752c471d2/Pailler_Adam_prescription-medicale-de-transport_2025-09-10.pdf.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Copying file Pailler_Adam_prescription-medicale-de-transport_2025-09-10.pdf to /var/www/html/HRProprietary/HRConvert2/DATA/5cf8d421483a/7d5752c471d2/Pailler_Adam_prescription-medicale-de-transport_2025-09-10.pdf.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Copied file Pailler_Adam_prescription-medicale-de-transport_2025-09-10.pdf.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Deleting stale file /var/www/html/HRProprietary/HRConvert2/DATA/5cf8d421483a/7d5752c471d2/Pailler_Adam_prescription-medicale-de-transport_2025-09-10.pdf.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Verified file /home/converter/5cf8d421483a/7d5752c471d2/Pailler_Adam_prescription-medicale-de-transport_2025-09-10.pdf.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Starting virus scan.
Op-Act, September 13, 2025, 12:55 am, 5cf8d421483a/7d5752c471d2: Virus scan complete.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: Verified inbound connection.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: Verified globals.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: Verified required directories.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: Cleaned temporary location.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: Cleaned convert location.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: Verified tokens.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: Verified color scheme.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: Verified language.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: Skipping display GUI procedure.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: Initiating Converter.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: User selected to perform OCR on file Pailler_Adam_prescription-medicale-de-transport_2025-09-10.pdf.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: Deleting stale file /var/www/html/HRProprietary/HRConvert2/DATA/5cf8d421483a/7d5752c471d2/Pailler_Adam_prescription-medicale-de-transport_2025-09-10.pdf.
ERROR!!! September 13, 2025, 12:56 am, IAHome Converter-14002, 5cf8d421483a/7d5752c471d2: The file /var/www/html/HRProprietary/HRConvert2/DATA/5cf8d421483a/7d5752c471d2/Pailler_Adam_prescription-medicale-de-transport_2025-09-10.pdf failed second stage validation!
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: Verified inbound connection.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: Verified globals.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: Verified required directories.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: Cleaned temporary location.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: Cleaned convert location.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: Verified tokens.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: Verified color scheme.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: Verified language.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: Skipping display GUI procedure.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: Initiating Downloader.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/7d5752c471d2: User selected to Download file Pailler_Adam_prescription-medicale-de-transport_2025-09-10.docx.
ERROR!!! September 13, 2025, 12:56 am, IAHome Converter-14002, 5cf8d421483a/7d5752c471d2: The file /var/www/html/HRProprietary/HRConvert2/DATA/5cf8d421483a/7d5752c471d2/Pailler_Adam_prescription-medicale-de-transport_2025-09-10.docx failed second stage validation!
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/b5fb3627a705: Verified inbound connection.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/b5fb3627a705: Verified globals.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/b5fb3627a705: Created a directory at /home/converter/5cf8d421483a/b5fb3627a705/.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/b5fb3627a705: Created a directory at /var/www/html/HRProprietary/HRConvert2/DATA/5cf8d421483a/b5fb3627a705/.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/b5fb3627a705: Verified required directories.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/b5fb3627a705: Cleaned temporary location.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/b5fb3627a705: Cleaned convert location.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/b5fb3627a705: Could not verify tokens!
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/b5fb3627a705: Verified color scheme.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/b5fb3627a705: Verified language.
Op-Act, September 13, 2025, 12:56 am, 5cf8d421483a/b5fb3627a705: Displaying the GUI.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/d79fbc8e0140: Verified inbound connection.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/d79fbc8e0140: Verified globals.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/d79fbc8e0140: Created a directory at /home/converter/5cf8d421483a/d79fbc8e0140/.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/d79fbc8e0140: Created a directory at /var/www/html/HRProprietary/HRConvert2/DATA/5cf8d421483a/d79fbc8e0140/.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/d79fbc8e0140: Verified required directories.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/d79fbc8e0140: Cleaned temporary location.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/d79fbc8e0140: Cleaned convert location.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/d79fbc8e0140: Could not verify tokens!
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/d79fbc8e0140: Verified color scheme.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/d79fbc8e0140: Verified language.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/d79fbc8e0140: Displaying the GUI.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Verified inbound connection.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Verified globals.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Created a directory at /home/converter/5cf8d421483a/946a5ced2304/.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Created a directory at /var/www/html/HRProprietary/HRConvert2/DATA/5cf8d421483a/946a5ced2304/.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Verified required directories.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Cleaned temporary location.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Cleaned convert location.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Verified tokens.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Verified color scheme.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Verified language.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Displaying the GUI.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Initiating Uploader.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: User selected to Upload file f85ca39a-5155-419b-8ae1-005c693dc7a4_Tu_es_un_developpeur_full-stack_exp.pdf.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Uploaded file f85ca39a-5155-419b-8ae1-005c693dc7a4_Tu_es_un_developpeur_full-stack_exp.pdf to /home/converter/5cf8d421483a/946a5ced2304/f85ca39a-5155-419b-8ae1-005c693dc7a4_Tu_es_un_developpeur_full-stack_exp.pdf.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Upload Complete.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Verified inbound connection.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Verified globals.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Verified required directories.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Cleaned temporary location.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Cleaned convert location.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Verified tokens.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Verified color scheme.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Verified language.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Displaying the GUI.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Verified inbound connection.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Verified globals.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Verified required directories.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Cleaned temporary location.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Cleaned convert location.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Verified tokens.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Verified color scheme.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Verified language.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Skipping display GUI procedure.
Op-Act, September 13, 2025, 12:57 am, 5cf8d421483a/946a5ced2304: Initiating Converter.
